BarCode,Itm_Cd,Itm_Name,Itm_Retail_Price_Tax
00001,00001,NAN NO-2 OPTIPRO MILK 400GM 87716(69194),30.450
7891000058268,00001,NAN NO-2 OPTIPRO MILK 400GM 87716(69194),30.450
7613032314651,00001,NAN NO-2 OPTIPRO MILK 400GM 87716(69194),30.450
7613033335563,00001,NAN NO-2 OPTIPRO MILK 400GM 87716(69194),30.450
7613033536182,00001,NAN NO-2 OPTIPRO MILK 400GM 87716(69194),30.450
7613035371767,00001,NAN NO-2 OPTIPRO MILK 400GM 87716(69194),30.450
00012,00012,"CERELAC DATES WITH MILK, 400GM 61677",24.150
6281019001972,00012,"CERELAC DATES WITH MILK, 400GM 61677",24.150
6281019002665,00012,"CERELAC DATES WITH MILK, 400GM 61677",24.150
7613033432927,00012,"CERELAC DATES WITH MILK, 400GM 61677",24.150
7613034981165,00012,"CERELAC DATES WITH MILK, 400GM 61677",24.150
00015,00015,"CERELAC FRUITS CEREAL, 1 KG 2810",56.700
6281019001941,00015,"CERELAC FRUITS CEREAL, 1 KG 2810",56.700
6281019002733,00015,"CERELAC FRUITS CEREAL, 1 KG 2810",56.700
7613033432781,00015,"CERELAC FRUITS CEREAL, 1 KG 2810",56.700
7613034981806,00015,"CERELAC FRUITS CEREAL, 1 KG 2810",56.700
00066,00066,"BEBELAC NO-2 MILK, 400 GM 10602",30.450
8712400766340,00066,"BEBELAC NO-2 MILK, 400 GM 10602",30.450
9556098827261,00066,"BEBELAC NO-2 MILK, 400 GM 10602",30.450
00104,00104,ORAX MOUTHWASH & GARGLE 200ML,18.850
6291100782574,00104,ORAX MOUTHWASH & GARGLE 200ML,18.850
00199,00199,"SUNSILK SHAMPOO FRUITAMINS, 400ML",15.750
00221,00221,RECITAL COLOR  N1 RICH RED BLACK,45.150
00223,00223,RECITAL NOIR. R2.10  RICH BLOND 51056,45.150
3061375275018,00223,RECITAL NOIR. R2.10  RICH BLOND 51056,45.150
00232,00232,"CALTRATE 600 MG TAB, 60 'S",25.050
6251613000480,00232,"CALTRATE 600 MG TAB, 60 'S",25.050
00244,00244,"KOTEX MAXI REGULAR WITH WINGS, 10 'S  329001",6.825
00258,00258,"RENNIE TAB, 48's",9.300
319567,00258,"RENNIE TAB, 48's",9.300
324779,00258,"RENNIE TAB, 48's",9.300
00262,00262,"BENEXOL B12 TAB, 10 'S",20.318
00269,00269,BEPANTHEN PROTECTIVE BABY OINT 30 GM,11.850
324776,00269,BEPANTHEN PROTECTIVE BABY OINT 30 GM,11.850
292485,00269,BEPANTHEN PROTECTIVE BABY OINT 30 GM,11.850
00271,00271,"LOTUS FOR ADULT 4X12, MEDIUM",38.000
6281043352200,00271,"LOTUS FOR ADULT 4X12, MEDIUM",38.000
00273,00273,BEPANTHEN PLUS WOUND HEALING CREAM 30 GM,12.350
329868,00273,BEPANTHEN PLUS WOUND HEALING CREAM 30 GM,12.350
316019,00273,BEPANTHEN PLUS WOUND HEALING CREAM 30 GM,12.350
00292,00292,"ROACCUTANE 10 MG CAP, 30's",91.200
330684,00292,"ROACCUTANE 10 MG CAP, 30's",91.200
291550,00292,"ROACCUTANE 10 MG CAP, 30's",91.200
303781,00292,"ROACCUTANE 10 MG CAP, 30's",91.200
325570,00292,"ROACCUTANE 10 MG CAP, 30's",91.200
00315,00315,"AURORIX 150 MG TAB, 30 'S",58.650
530043,00315,"AURORIX 150 MG TAB, 30 'S",58.650
00320,00320,"DILATREND 25 MG TAB, 30's",52.050
328798,00320,"DILATREND 25 MG TAB, 30's",52.050
596494,00320,"DILATREND 25 MG TAB, 30's",52.050
00339,00339,RECITAL  ALICANTE DEEP PULM 4.16,45.150
00342,00342,RECITAL 6.13 JERSEY HAZEL BLONDE  51095,45.150
3061375344011,00342,RECITAL 6.13 JERSEY HAZEL BLONDE  51095,45.150
00346,00346,"COD LIVER OIL CAP, 50 'S",51.450
299873,00346,"COD LIVER OIL CAP, 50 'S",51.450
00355,00355,"INOD'AIL (GARLIC) 430MG CAP, 45's",47.250
3578830110512,00355,"INOD'AIL (GARLIC) 430MG CAP, 45's",47.250
00359,00359,"DIAMICRON 80 MG TAB, 60's",52.500
00361,00361,"NATRILIX SR 1.5 MG TAB, 30 'S",30.300
3594455200025,00361,"NATRILIX SR 1.5 MG TAB, 30 'S",30.300
3706714020071,00361,"NATRILIX SR 1.5 MG TAB, 30 'S",30.300
00368,00368,"MOLICARE NO-1 CLASSIC, 28 'S",80.000
00375,00375,"TENA SLIP PLUS MEDIUM, 3X30 'S  710233",120.000
8699114502559,00375,"TENA SLIP PLUS MEDIUM, 3X30 'S  710233",120.000
7310791087726,00375,"TENA SLIP PLUS MEDIUM, 3X30 'S  710233",120.000
7310797102300,00375,"TENA SLIP PLUS MEDIUM, 3X30 'S  710233",120.000
7322540646726,00375,"TENA SLIP PLUS MEDIUM, 3X30 'S  710233",120.000
00376,00376,"TENORMIN 100 MG TAB, 28's",46.550
334198,00376,"TENORMIN 100 MG TAB, 28's",46.550
326540,00376,"TENORMIN 100 MG TAB, 28's",46.550
5000455007444,00376,"TENORMIN 100 MG TAB, 28's",46.550
00386,00386,ONE ALPHA 2 MCG DROPS,101.250
00105,00105,"SIGNAL 2 HEALTHY WHITE TOOTH PASTE, 125ML",11.550
00117,00117,"SUNSILK SHAMPOO CACTUS, 425ML",14.700
00177,00177,"FAIR&LOVELY CREAM, 80G",18.900
327781,00177,"FAIR&LOVELY CREAM, 80G",18.900
333933,00177,"FAIR&LOVELY CREAM, 80G",18.900
8901030004131,00177,"FAIR&LOVELY CREAM, 80G",18.900
00179,00179,FAIR&LOVELY FAIRNESS M/V CREAM NEW 100ML 10835,22.950
6281006409507,00179,FAIR&LOVELY FAIRNESS M/V CREAM NEW 100ML 10835,22.950
8901030004100,00179,FAIR&LOVELY FAIRNESS M/V CREAM NEW 100ML 10835,22.950
8901030020346,00179,FAIR&LOVELY FAIRNESS M/V CREAM NEW 100ML 10835,22.950
00195,00195,"SUNSILK HAIR CREAM HENNA, 175ML",15.750
00215,00215,"LIFEBUOY PLUS SOAP YELLOW, 75 GM",1.575
00217,00217,"ELDOQUIN 2% CREAM, 14.18G",17.400
00219,00219,"ELDOQUIN 2%CREAM, 28.35G",30.600
00222,00222,RECITAL COLOR  N3,45.150
00224,00224,"ELDOPAQUE FORTE 4% CREAM, 28.35G",30.300
327103,00224,"ELDOPAQUE FORTE 4% CREAM, 28.35G",30.300
00233,00233,ALWAYS LARGE 16X10 BLUE DAW,6.300
00247,00247,"CAFAMOL TAB, 20 'S",4.600
323542,00247,"CAFAMOL TAB, 20 'S",4.600
6221075011614,00247,"CAFAMOL TAB, 20 'S",4.600
00260,00260,"BECOZYM FORTE TAB, 20 'S",11.550
00267,00267,BEPANTHEN MOISTURIZING CREAM 30 GM,12.300
324775,00267,BEPANTHEN MOISTURIZING CREAM 30 GM,12.300
00272,00272,"LOTUS FOR ADULT 4X15, SMALL",35.000
6281043352101,00272,"LOTUS FOR ADULT 4X15, SMALL",35.000
00286,00286,"ROCEPHIN 1G I.M VIAL, 1's",68.200
00293,00293,"ROACCUTANE 20 MG CAP, 30's",125.600
328800,00293,"ROACCUTANE 20 MG CAP, 30's",125.600
330686,00293,"ROACCUTANE 20 MG CAP, 30's",125.600
311340,00293,"ROACCUTANE 20 MG CAP, 30's",125.600
333984,00293,"ROACCUTANE 20 MG CAP, 30's",125.600
308252,00293,"ROACCUTANE 20 MG CAP, 30's",125.600
7640128012382,00293,"ROACCUTANE 20 MG CAP, 30's",125.600
00296,00296,"BACTRIM 400 / 80 MG TAB, 20 'S",23.550
327091,00296,"BACTRIM 400 / 80 MG TAB, 20 'S",23.550
330679,00296,"BACTRIM 400 / 80 MG TAB, 20 'S",23.550
307226,00296,"BACTRIM 400 / 80 MG TAB, 20 'S",23.550
00303,00303,EXCELENCE 7.3 GOLDEN BLONDE,57.750
3061375126013,00303,EXCELENCE 7.3 GOLDEN BLONDE,57.750
.1,00308,EXCELENCE 6 DARK BLONDE  51011,49.940
00308,00308,EXCELENCE 6 DARK BLONDE  51011,49.940
3061375122015,00308,EXCELENCE 6 DARK BLONDE  51011,49.940
00313,00313,EXCELENCE COLOR 5.6,49.350
3061375121018.00,00313,EXCELENCE COLOR 5.6,49.350
00314,00314,EXCELENCE4.16 BUR. BROWN 51004,57.750
3061375287011,00314,EXCELENCE4.16 BUR. BROWN 51004,57.750
00328,00328,EXCELLENCE 8.1 LIGT ASH BLONDE  51017,49.940
